Proteins	Genes	Accession-1 of Gene	Common-Name
G6215-MONOMER	G6215	b0363	yaiP
EG11401-MONOMER	EG11401	b0384	psiF
G6788-MONOMER	G6788	b1498	ydeN
EG10848-MONOMER	EG10848	b0700	rhsC
PD04418	EG11366	b4396	rob
EG12399-MONOMER	EG12399	b1198	dhaM
MONOMER0-2663	G0-10441	b4515	cydX
MONOMER0-4560	G0-17114	b4837	spfP
G7946-MONOMER	G7946	b4364	yjjP
MONOMER0-4446	G7076	b1996	insD3
EG11140-MONOMER	EG11140	b1914	uvrY
AROB-MONOMER	EG10074	b3389	aroB
G6813-MONOMER	G6813	b1527	yneK
B2077-MONOMER	EG12136	b2077	mdtD
G6507-MONOMER	G6507	b0986	gfcB
G7230-MONOMER	G7230	b2361	yfdR
G6159-MONOMER	G6159	b0288	ykgJ
ASNSYNB-MONOMER	EG10092	b0674	asnB
G7742-MONOMER	G7742	b3399	yrfG
ARTJ-MONOMER	EG11628	b0860	artJ
G7100-MONOMER	G7100	b2055	wcaE
EG10910-MONOMER	EG10910	b3297	rpsK
EG12024-MONOMER	EG12024	b2142	yohK
G7118-MONOMER	G7118	b2081	trhP
EG11825-MONOMER	EG11825	b1464	yddE
EG10227-MONOMER	EG10227	b1575	dicB
PD00474	EG11078	b0020	nhaR
HYDG-MONOMER	EG10482	b4004	zraR
MONOMER0-4442	G6297	b0541	insF3
OX-FLAVODOXIN1	EG10318	b0684	fldA
PSERTRANSAM-MONOMER	EG10946	b0907	serC
EG12850-MONOMER	EG12850	b2233	yfaL
MONOMER0-4200	EG12099	b4147	efp
G6441-MONOMER	G6441	b0843	ybjH
MONOMER0-4235	G6360	b0656	insH3
EG12031-MONOMER	EG12031	b2163	yeiL
G7930-MONOMER	G7930	b4333	yjiK
EG12196-MONOMER	EG12196	b1001	yccE
RIBULOKIN-MONOMER	EG10053	b0063	araB
EG11613-MONOMER	EG11613	b4114	eptA
EG11187-MONOMER	EG11187	b3594	yibA
TRPS-CPLX	EG11030	b3384	trpS
G7401-MONOMER	G7401	b2673	nrdH
EG10608-MONOMER	EG10608	b3251	mreB
EG11108-MONOMER	EG11108	b0707	ybgA
EG11342-MONOMER	EG11342	b1242	ychE
YHHS-MONOMER	EG12219	b3473	yhhS
G6755-MONOMER	G6755	b1444	patD
EG11093-MONOMER	EG11093	b0389	yaiA
G7081-MONOMER	G7081	b2001	yeeR
XAPB-MONOMER	EG13159	b2406	xapB

APPC-MONOMER	EG11380	b0978	appC
YJFF-MONOMER	EG12439	b4231	yjfF
PRIBFAICARPISOM-MONOMER	EG10444	b2024	hisA
EG10747-MONOMER	EG10747	b0060	polB
EG10293-MONOMER	EG10293	b0584	fepA
EG11441-MONOMER	EG11441	b3498	prlC
DTDPGLUCDEHYDRAT2-MONOMER	EG11453	b3788	rffG
G6819-MONOMER	G6819	b1545	pinQ
MALDEXPHOSPHORYL-MONOMER	EG10560	b3417	malP
G6791-MONOMER	G6791	b1501	ydeP
G7653-MONOMER	G7653	b3159	ubiV
EG12233-MONOMER	EG12233	b3497	rsmJ
TORR-MONOMER	EG12615	b0995	torR
GATA-MONOMER	EG12414	b2094	gatA
EG11749-MONOMER	EG11749	b0130	yadE
G6465-MONOMER	G6465	b0891	lolA
FUM-FE-S	EG10331	b4153	frdB
PHES-MONOMER	EG10709	b1714	pheS
EG12314-MONOMER	EG12314	b0101	yacG
FOLC-MONOMER	EG10327	b2315	folC
G7131-MONOMER	G7131	b2099	yegU
G6932-MONOMER	G6932	b1727	hxpB
RBSA-MONOMER	EG10814	b3749	rbsA
G6152-MONOMER	G6152	b0281	intF
G7363-MONOMER	G7363	b2628	abpA
EG10210-MONOMER	EG10210	b1343	dbpA
EG12432-MONOMER	EG12432	b1694	ydiF
EG10860-MONOMER	EG10860	b0214	rnhA
EG12146-MONOMER	EG12146	b3205	rapZ
YIFK-MONOMER	EG11459	b3795	thrP
EG10902-MONOMER	EG10902	b3314	rpsC
MONOMER0-4291	EG12188	b2829	ptsP
G6379-MONOMER	G6379	b0710	ybgI
EG11207-MONOMER	EG11207	b4012	yjaB
EG10900-MONOMER	EG10900	b0911	rpsA
EG12270-MONOMER	EG12270	b3550	yiaC
CYANLY-MONOMER	EG10175	b0340	cynS
G6611-MONOMER	G6611	b1171	ymgD
G6952-MONOMER	G6952	b1757	ynjE
MONOMER0-4194	EG10822	b2218	rcsC
ADHC-MONOMER	EG50010	b0356	frmA
GLY3KIN-MONOMER	G6283	b0514	glxK
3-OXOACYL-ACP-REDUCT-MONOMER	EG11318	b1093	fabG
G6672-MONOMER	G6672	b1340	smrA
PROPKIN-MONOMER	EG11172	b3115	tdcD
EG11255-MONOMER	EG11255	b0637	rsfS
EG11591-MONOMER	EG11591	b0630	lipB
G6483-MONOMER	G6483	b0941	elfG
AGAB-MONOMER	EG12769	b3138	agaB
EG11236-MONOMER	EG11236	b0315	pdeL
UDPACYLGLCNACDEACETYL-MONOMER	EG10265	b0096	lpxC
RIBULPEPIM-MONOMER	EG10055	b0061	araD
G6394-MONOMER	G6394	b0753	ybgS
EG11937-MONOMER	EG11937	b4060	yjcB
G6251-MONOMER	G6251	b0454	ybaZ
TATA	G7806	b3836	tatA
TAUC-MONOMER	G6219	b0367	tauC
NHAA-MONOMER	EG10652	b0019	nhaA
G6398-MONOMER	G6398	b0768	ybhD
G6996-MONOMER	G6996	b1815	pdeD
UDP-NACMURALGLDAPAALIG-MONOMER	EG10622	b0086	murF
EG12252-MONOMER	EG12252	b3525	pdeH
G7199-MONOMER	G7199	b2324	mnmC
G6881-MONOMER	G6881	b1641	slyB
G7255-MONOMER	G7255	b2394	insL3
G7733-MONOMER	G7733	b3381	yhfX
CYST-MONOMER	EG10197	b2424	cysU
DALADALALIGA-MONOMER	EG10213	b0381	ddlA
GLYCOPHOSPHORYL-MONOMER	EG10380	b3428	glgP
TTDA-MONOMER	EG11168	b3061	ttdA
G6449-MONOMER	G6449	b0859	rlmC
ARCA-MONOMER	EG10061	b4401	arcA
EG12280-MONOMER	EG12280	b3576	yiaL
RIBAZOLEPHOSPHAT-MONOMER	G6349	b0638	cobC
LIPOYL-ACP	EG50003	b1094	acpP
G6869-MONOMER	G6869	b1625	cnu
EG11768-MONOMER	EG11768	b0503	selU
SUCB-S-SUCCINYLDIHYDROLIPOATE	EG10980	b0727	sucB
EG11802-MONOMER	EG11802	b2993	hybD
PROY-MONOMER	G6233	b0402	proY
G7380-MONOMER	G7380	b2645	yfjZ
NUOF-MONOMER	EG11774	b2284	nuoF
AMP-NUCLEOSID-MONOMER	EG10039	b1982	amn
G7643-MONOMER	G7643	b3148	yraN
EG12138-MONOMER	EG12138	b0193	yaeF
G6095-MONOMER	G6095	b0187	yaeR
TAUB-MONOMER	G6218	b0366	tauB
TSA-REDUCT-MONOMER	EG11176	b3125	garR
ACSERLYA-MONOMER	EG10192	b2414	cysK
G7546-MONOMER	G7546	b2980	glcC
SECF	EG10940	b0409	secF
G6995-MONOMER	G6995	b1811	yoaH
E3-MONOMER	EG10543	b0116	lpd
GLYCOGENSYN-MONOMER	EG10377	b3429	glgA
B0070-MONOMER	EG11754	b0070	setA
EG12309-MONOMER	EG12309	b4403	yjtD
NAD-SYNTH-MONOMER	EG10663	b1740	nadE
EG11723-MONOMER	EG11723	b3713	yieF
MANNONOXIDOREDUCT-MONOMER	EG20248	b4323	uxuB
EG11844-MONOMER	EG11844	b3879	yihR
MONOMER0-4184	EG11610	b2370	evgS
EG11666-MONOMER	EG11666	b0783	moaC
EG10544-MONOMER	EG10544	b1677	lpp
G7844-MONOMER	G7844	b4176	yjeT
RBSB-MONOMER	EG10815	b3751	rbsB
G6757-MONOMER	G6757	b1446	ydcY
G6188-MONOMER	G6188	b0323	yahI
PABASYN-COMPII-MONOMER	EG10682	b3360	pabA
DCUS-MONOMER	G7827	b4125	dcuS
EG12229-MONOMER	EG12229	b3492	yhiN
TRANSKETOII-MONOMER	EG12100	b2465	tktB
G6486-MONOMER	G6486	b0946	zapC
ANSB-MONOMER	EG10046	b2957	ansB
EG12154-MONOMER	EG12154	b1353	sieB
MONOMER0-4230	G0-10540	G0-10540	insAB6
G6404-MONOMER	G6404	b0787	ybhM
G6653-MONOMER	G6653	b1315	ycjS
EG12195-MONOMER	EG12195	b0998	torD
B0709-MONOMER	G6378	b0709	dtpD
G7800-MONOMER	G7800	b4481	wecF
MONOMER0-145	G7554	b2997	hybO
PHOSPHO-UHPB	EG11052	b3668	uhpB
PDXK-MONOMER	G7259	b2418	pdxK
FDOG-MONOMER	EG11858	b3894	fdoG
AMPG-MONOMER	EG12183	b0433	ampG
G6111-MONOMER	G6111	b0227	yafL
G6823-MONOMER	G6823	b1550	gnsB
G6923-MONOMER	G6923	b1700	ydiT
G6985-MONOMER	G6985	b1799	dmlR
G6352-MONOMER	G6352	b0645	ybeR
MONOMER0-4397	G0-16693	G0-16693	gndA
MONOMER0-4228	G0-10430	b4516	insA4
EG13217-MONOMER	EG13217	b0445	ybaE
G6563-MONOMER	G6563	b1085	yceQ
GLUTAMIDOTRANS-MONOMER	EG10450	b2023	hisH
G7328-MONOMER	G7328	b2534	yfhR
MONOMER0-4250	G6724	b1403	insC2
MONOMER0-2757	G0-10537	G0-10537	insAB2
NAPHTHOATE-SYN-MONOMER	EG11368	b2262	menB
EG10667-MONOMER	EG10667	b3982	nusG
LYSU-MONOMER	EG10553	b4129	lysU
G7378-MONOMER	G7378	b2643	yfjX
G7012-MONOMER	G7012	b1839	yebY
ANSP-MONOMER	G6764	b1453	ansP
MONOMER0-2741	G7575	b3025	qseB
GRXB-MONOMER	EG12688	b1064	grxB
G7604-MONOMER	G7604	b3085	ygjP
G7449-MONOMER	G7449	b2791	truC
EG10831-MONOMER	EG10831	b2616	recN
PAPSSULFOTRANS-MONOMER	EG10189	b2762	cysH
G7243-MONOMER	G7243	b2380	pyrS
G6602-MONOMER	G6602	b1162	bluR
GLU6PDEHYDROG-MONOMER	EG11221	b1852	zwf
G7086-MONOMER	G7086	b2006	yeeW
G7223-MONOMER	G7223	b2354	yfdK
PHOSPHO-NARP	EG11527	b2193	narP
EG10466-MONOMER	EG10466	b4000	hupA
GLUCONOKINI-MONOMER	EG12152	b4268	idnK
MONOMER0-4545	G0-17092	b4817	ynhH
YDJE-MONOMER	EG12369	b1769	ydjE
UIDB-MONOMER	EG11658	b1616	uidB
ADCLY-MONOMER	EG11493	b1096	pabC
G6448-MONOMER	G6448	b0858	ybjO
CARNDEHYDRA-MONOMER	EG11559	b0038	caiB
YJDL-MONOMER	EG12469	b4130	dtpC
QUINOLINATE-SYNTHA-MONOMER	EG10630	b0750	nadA
EG11296-MONOMER	EG11296	b4389	radA
EG11129-MONOMER	EG11129	b1561	rem
EG11536-MONOMER	EG11536	b3685	yidE
G7678-MONOMER	G7678	b3226	nanR
YEJA-MONOMER	EG12037	b2177	yejA
G7263-MONOMER	G7263	b2428	murQ
G7510-MONOMER	G7510	b2897	sdhE
EG10687-MONOMER	EG10687	b3030	parE
MONOMER0-4440	G6145	b0274	insB3
G7682-MONOMER	G7682	b3234	degQ
EMRD-MONOMER	EG11693	b3673	emrD
EG12842-MONOMER	EG12842	b0850	ybjC
MONOMER0-2828	G0-10606	b4620	yjbT
G7698-MONOMER	G7698	b3282	tsaC
URIDYLYL-PII2	EG12191	b0450	glnK
ACONITASE-MONOMER	EG11325	b1276	acnA
ADHP-MONOMER	G6775	b1478	adhP
UBIX-MONOMER	EG11044	b2311	ubiX
PTSG-MONOMER	EG10787	b1101	ptsG
EG11954-MONOMER	EG11954	b4082	mdtN
GNTU-MONOMER	EG12631	b4476	gntU
THIKIN-MONOMER	G6566	b1106	thiK
G7646-MONOMER	G7646	b3152	yraR
G7405-MONOMER	G7405	b2682	ygaZ
G6288-MONOMER	G6288	b4572	ylbE
CARNRACE-MONOMER	EG11557	b0036	caiD
G6306-MONOMER	G6306	b0550	rusA
G7097-MONOMER	G7097	b2046	wzxC
G7320-MONOMER	G7320	b2512	bamB
G7853-MONOMER	G7853	b4190	yjfP
G7550-MONOMER	G7550	b2984	yghR
G6895-MONOMER	G6895	b1667	ydhR
ACS-MONOMER	EG11448	b4069	acs
G7611-MONOMER	G7611	b3097	yqjC
FRUCBISALD-CLASSI-MONOMER	G7129	b2097	fbaB
PD00423	EG11029	b4393	trpR
EG11177-MONOMER	EG11177	b3166	truB
G7423-MONOMER	G7423	b2747	ispD
G7641-MONOMER	G7641	b3146	rsmI
MENF-MONOMER	EG12362	b2265	menF
G6731-MONOMER	G6731	b1412	azoR
G7133-MONOMER	G7133	b2101	yegW
NARW-MONOMER	EG10645	b1466	narW
YEJF-MONOMER	EG12041	b2180	yejF
G6167-MONOMER	G6167	b0296	ykgM
MONOMER0-4441	G6223	b0372	insF2
THRS-MONOMER	EG11001	b1719	thrS
EG10786-MONOMER	EG10786	b2821	ptrA
EG10313-MONOMER	EG10313	b4318	fimF
G7025-MONOMER	G7025	b1875	yecM
MONOMER0-4495	G0-17029	b4783	yfiS
G7921-MONOMER	G7921	b4311	nanC
EG10668-MONOMER	EG10668	b1335	ogt
MONOMER0-4490	G0-17024	b4778	yecV
G7258-MONOMER	G7258	b2412	zipA
G6191-MONOMER	G6191	b0326	yahL
EG11594-MONOMER	EG11594	b0629	ybeF
EG11547-MONOMER	EG11547	b1652	rnt
G7835-MONOMER	G7835	b4145	yjeJ
GALACTITOLPDEHYD-MONOMER	EG12417	b2091	gatD
EG10736-MONOMER	EG10736	b0708	phr
EG10853-MONOMER	EG10853	b1427	rimL
EG12344-MONOMER	EG12344	b1303	pspF
